long,lat,height-above-ellipsoid
10.3908031,49.0377735,825.2
10.3907561,49.0378079,825.8
10.3906946,49.0378203,826.7
10.3906354,49.0378052,827.3
10.3906124,49.0377555,828.2
10.3906529,49.037687,828.7
10.3907442,49.0376239,829.8
10.3908486,49.0375697,831.8
10.3909297,49.0375073,831.5
10.3909465,49.0374512,831.7
10.3908969,49.0374236,832.1
10.3908277,49.0374244,831.8
10.3907595,49.0374557,832.1
10.3907053,49.0375103,833.4
10.3906749,49.0375631,834.8
10.3906788,49.0376157,835.4
10.3907454,49.037664,835.7
10.39087,49.037681,835.2
10.3910025,49.0376548,834.9
10.391096,49.0375961,834.7
10.3911387,49.037521,835.5
10.3911456,49.0374523,837.6
10.3911384,49.0373813,837.3
10.3910887,49.0373358,837.0
10.3910137,49.0373149,837.3
10.3909374,49.0373058,838.1
10.3908616,49.0373024,838.7
10.3907825,49.0372877,839.0
10.3907103,49.0372537,839.6
10.3906616,49.0372005,840.8
10.3906109,49.0371555,841.5
10.3905532,49.0371392,842.3
10.3905334,49.0371438,844.2
10.390565,49.0371693,845.6
10.3906584,49.0371844,846.5
10.3907823,49.0371879,848.4
10.3909174,49.0371685,849.4
10.3910281,49.0371343,849.6
10.3910867,49.0370723,849.2
10.3910843,49.0370017,849.5
10.3910592,49.0369346,851.2
10.3910381,49.0368645,852.1
10.3910361,49.0367936,852.8
10.391066,49.0367216,853.9
10.3911227,49.0366508,855.2
10.3912096,49.036595,855.5
10.3913306,49.0365757,856.2
10.3914612,49.0365784,857.1
10.3915171,49.0366324,857.8
10.3915206,49.0366732,858.7
10.3914829,49.0366724,857.3
10.3914395,49.0366394,856.5
10.3914054,49.0365912,858.6
10.3914112,49.0365257,861.5
10.3914634,49.0364548,862.6
10.3915586,49.0363983,862.8
10.3916872,49.0363655,864.5
10.391819,49.0363675,867.5
10.3919291,49.0363867,868.3
10.3919716,49.0364476,870.0
10.3919666,49.0364883,872.2
10.391931,49.0364842,873.0
10.3919061,49.0364381,872.6
10.3919089,49.0363726,874.3
10.3818299,48.9970665,1227.3
10.3817261,48.9970257,1225.5
10.3816222,48.996975,1226.1
10.3815309,48.9969155,1225.0
10.3814358,48.9968624,1222.8
10.3813639,48.9967764,1220.2
10.3812882,48.9966841,1216.8
10.3812087,48.9965918,1213.0
10.3811335,48.9964894,1209.6
10.3810547,48.9963835,1206.2
10.3809735,48.9962762,1203.2
10.3808825,48.9961755,1200.0
10.3807937,48.9960667,1198.1
10.3807113,48.9959503,1197.8
10.3806273,48.995839,1196.7
10.3805392,48.9957331,1194.9
10.380448,48.9956383,1194.7
10.3803566,48.9955462,1193.6
10.3802703,48.9954411,1192.7
10.380177,48.9953372,1193.0
10.3800734,48.9952489,1191.0
10.3799668,48.9951595,1189.3
10.3798579,48.9950679,1187.6
10.3797418,48.9949821,1185.7
10.3796227,48.9949034,1185.4
10.379511,48.9948263,1186.5
10.3794062,48.9947611,1188.0
10.3793044,48.9947152,1188.5
10.3792088,48.9946741,1188.0
10.3791175,48.9946262,1187.7
10.3790346,48.9945712,1188.4
10.3789636,48.9945089,1187.4
10.3789036,48.9944401,1187.0
10.3788496,48.994365,1186.3
10.3787987,48.9942858,1186.1
10.3787535,48.9941952,1185.4
10.3787054,48.994104,1183.9
10.378654,48.9940051,1183.4
10.3785962,48.9939058,1184.6
10.3785368,48.9938081,1184.7
10.3784731,48.9937207,1183.9
